,qualifications
86,"• 컴퓨터공학, 전자공학, 기계공학, 물리학, 통계학 관련 전공
• 센서 및 GPS 신호 분석, 응용 알고리즘 개발
• Embedded SW개발(C / C++)
• 데이터 분석(Matlab 또는 Python)
• C++ 및 Python 프로그래밍 능력
• Linux 상 프로그램 개발 능력
• ROS에 대한 이해"
87,"• 관련 분야 석사 학위 혹은 2년 이상 경력 보유 
• TensorFlow, PyTorch 등 주요 DL 프레임워크 활용 경험 
• 영어 회화 가능 (외국인과 업무 소통 가능) 
• 팀과 협업 및 원활한 커뮤니케이션 보유 
• 독립적인 리서치 프로젝트 수행 능력 
• 최신 논문 이해 및 모델 적용 능력"
88,• 관련 분야 석사 학위 혹은 2년 이상 경력 보유
89,• 관련 분야 석사 학위 혹은 2년 이상 경력 보유
90,"• 관련 분야 석사 학위 혹은 2년 이상 경력 보유 
• TensorFlow, PyTorch 등 주요 DL 프레임워크 활용 경험 
• 영어 회화 가능 (외국인과 업무 소통 가능) 
• 팀과 협업 및 원활한 커뮤니케이션 보유 
• 독립적인 리서치 프로젝트 수행 능력 
• 최신 논문 이해 및 모델 적용 능력"
91,• 관련 분야 석사 학위 혹은 2년 이상 경력 보유
92,"• 대학교 졸업 이상
• C/C++을 활용한 프로젝트 개발 경험이 있으신 분
• (컴파일러 엔지니어) 함수형 언어(Scala, Haskell, F# 등) 사용 경험이 있으신 분
• (컴파일러 엔지니어) 딥러닝 프레임워크(Pytorch, tensorflow 등) 사용 경험이 있으신 분
• 병역특례 지원 가능
- 산업기능요원, 전문연구요원 지원 가능하며, 이력서에 별도 표기하여 제출 부탁드립니다. (Ex: 산업기능요원 보충역 편입, 전문연구요원 현역 전직 등)"
93,"• 경력 : 무관 
• Machine Learning, Deep Learning, 생성모델(diffusion, GAN, VAE 등)에 대한 기본적인 지식을 보유하신 분
• Diffusion, StyleGAN 등 생성형 모델을 다루어본 경험이 있는 분
• 다양한 이미지 데이터를 다루어본 경험이 있는 분
• Python , Tensorflow, Keras, PyTorch, Huggingface
• 오픈소스의 코드 레벨 디버깅 및 커스터마이징 경험이 있는 분"
94,"• 대학교 졸업 이상
• Python을 활용한 프로젝트 수행 경험이 있으신 분
• 딥러닝 프레임워크(Pytorch, Keras, Tensorflow 등) 을 활용한 프로젝트 수행 경험이 있으신 분
• 해외 여행에 결격 사유가 없으신 분
• 병역특례 지원 가능
- 산업기능요원, 전문연구요원 지원 가능하며, 이력서에 별도 표기하여 제출 부탁드립니다. (Ex: 산업기능요원 보충역 편입, 전문연구요원 현역 전직 등)"
95,"• 인공지능 및 머신러닝 연구에 관심있는 분
• Python, Pytorch, Tensorflow 사용 가능"
96,"• 학사 이상 (컴퓨터공학, 수학, 물리, 통계 등 관련 공학계열)
• NLP 관련 업무 경험이나 지식
• Python, Linux, Docker, Pytorch, Tensorflow
• NLP, LLM 등에 대한 최신 동향 이해
• 준수한 협업 능력"
97,"ㆍ신입~5년 이하 / 학력 무관
ㆍRAG/LLM/LangChain 등을 이용한 개발 경험이 있으신 분
ㆍFastAPI/Django 와 같은 프레임워크를 사용해 개발 경험이 있으신 분
ㆍPython, C++, Java 등의 언어를 활용한 프로그래밍 능력 및 Linux/Shell 활용 능력
ㆍRest API 등 프로그래밍에 대한 이해가 있으신 분
ㆍ원활한 팀웍을 위해 태도 및 협업 커뮤니케이션 능력을 가진 분"
98,"ㆍ관련 경력 신입~3년 이상 또는 이에 준하는 실무 경험
ㆍLanguage Model의 기본 개념 이해 및 사용 경험 필수
ㆍ대규모 데이터셋을 활용한 전처리 및 벡터화 프로젝트 경험 필수
ㆍAI 및 NLP 기반 검색 시스템 설계 및 구축 경험자 우대"
99,"ㆍ관련 경력 신입~3년 이상 또는 이에 준하는 실무 경험
ㆍLLM 파인튜닝 및 배포 경험 우대
ㆍ대규모 생성형 AI 모델 설계 및 운영 경험자 우대"
100,"• Python/C++을 사용한 컴퓨터 비전 알고리즘 개발 경험자
• Pytorch와 같은 프레임워크를 사용한 다양한 2D/3D Detection 모델 학습 및 개발 경험자"
101,"• 컴퓨터 공학, 수학, 통계, 전자공학 등 AI 관련 전공자
• 수학, 통계, 컴퓨터공학 등 AI 관련 전공자 분
• ML/AI 알고리즘에 대한 이해 및 설명이 가능하신 분
• 데이터 전처리부터 모델 개발, 검증까지 전체 프로세스를 수행할 수 있는 분
• 문제 해결 능력과 분석적 사고력을 갖춘 분
• 원활한 커뮤니케이션 능력과 문서 작성 능력을 갖춘 분"
102,"ㆍ신입~경력 5년 이하 / 학력 무관
ㆍSTT/TTS 딥러닝 모델 개발을 해 보신 분
ㆍPytorch 기반 딥러닝 코드를 작성 가능하신 분
ㆍKafka, Kubernetes, Docker 개발 경험이 있으신 분
ㆍDevOps 경험해 보신 분"
103,"• 학력: 박사 이상
• 경력 : 신입~3년 이하
• 생명과학 관련 분야 전공자
• Python, R 중 1개 이상의 언어 및 bash, zsh 사용에 숙련된 자
• Bioinformatic analysis에 능숙한 자
• Bacteria WGS, metagenome, transcriptome 등 multi-omic 분석에 능숙한 자"
104,"• 관련 전공 분야의 학사 학위 이상( Computer Science, Computer Engineering, Data Science 등)
• Machine Learning/Deep Learning 분야에 대한 경력 3년 이상
• 프로그래밍 언어 (Python, R, C/C++) 중 한 개 이상에 대한 경력 3년이상
• AI개발 프레임워크 (PyTorch, numpy)에 대한 높은 숙련도
• 이미지 처리를 위한 딥러닝 모델 (CNN/RNN/Transformers/Object Detection)에 대한 경험
• 데이터 사이언스 (Data Aggregation, Model Validation, Sampling, and Visualization)에 대한 경험
• 문제의 본질에 대해 고민하고, 근본적인 해결책을 찾기 위해 끊임없이 노력하시는 분.
• 상호 이해를 위한 합리적 의사소통 능력을 가지신 분
• 직접 개발한 AI모델이 실제 환자에게 쓰여 도움이 되는 소중한 경험을 해보고 싶은 분"
105,"• 학력 : 석사, 박사
• 경력 : 신입"
106,"• 학력 : 학사 이상 (석/박사 우대)
• 나이/성별 : 무관
• 경력 : 신입
• 전공 : 영상처리 관련 전공자
• 필수 :
- Computer Vision 이론적 배경 및 지식
- 영상처리 / 딥러닝 관련 실무 경험
- Python / C / C++ / OpenCV 개발 경험
- 자료구조/알고리즘 C언어 개발 경험
- 카메라 / 스트리밍 영상 / 녹화 영상처리 경험"
107,"• 학력 : 석사 이상(의료초음파, 의공학 또는 전자공학) 
• 경력 : 경력 무관(연구원~책임연구원) 
 - 초음파 신호·영상처리 또는 빔포밍 알고리즘 개발 경험 
• 필요기술 : 
 - Visual C, C++ 또는 Matlab 프로그래밍 능력 
 - 초음파 신호처리에 대한 이해와 알고리즘 개발 능력 
 - 분석 능력(Analytical Skills)"
108,"• 응용프로그래밍 분야 경력
• 응용프로그램개발 (C#, MSSQL) 개발 경험 필수"
